ich	I	
sie	she	
das	that, this	
du	you (familiar, singular)	
nicht	not	
die	the (feminine)	
und	and	
es	it	
der	the (masculine)	
was	what	
wir	we	
er	he	
zu	too, to	
ein	one, a	
in	in, into	
mit	with	
wie	how	
ja	yes	
auf	upon, on (horizontal surface) onto, up, on top of	
so	so, thus, as, such	
aber	but	
hier	here	
für	for	
von	from, of	
haben	to have	
dass	that (conj.)	
wenn	when, if	
an	at, upon, on (a vertical surface), by	
nein	no	
da	since (because), for (because), given that, whereas, here, there (single syllable) (d)	
noch	still, yet	
nur	only, merely, just, (bloß, or ...)	
Ihr	your (polite form)	
ihr	their, her, you	
uns	us	
aus	out	
gut	good	
das Gut; -"er	the good, item, commodity, possession, estate	
schon	already, yet, even	
auch	also, too, even	
sein	to be	
sein; seine	his, its (nominative for masc/neuter; fem)	
jetzt	now	
mal	time, instance (as in once, twice, thrice, etc.)	
das Mal; -e	the time (occurrence) (M)	
dann	then (not da) (d)	
als	than, as	
um	about, around, at (prep)	
mein	my	
doch	(emphatic marker)	
nach	after, to	
alles	everything	
man	one (3rd person, as in he/she/it)	
oder	or	
nichts	nothing	
das Nichts	the nothingness (no plural)	
wo	where	
weiß	white	
werden	to become (will)	
mehr	more	
warum	why (not wieso, weshalb, weswegen, wozu)	
etwas	something (not irgendwas, irgendetwas)	
die Bitte; -n	the request	
bitte	please	
bei	for, by, at	
immer	always, ever, throughout, invariably	
los	going on; go! (l)	
der Mann; -"er	the man, the husband	
vor	before, ago, in front of (not bevor, ehe, vorher, voran, zuvor) (single syllable)	
sehr	very	
sehen	to see	
sagen	to say	
wieder	again	
alle	all, everybody	
gehen	to go	
wer	who	
also	therefore, so, anyway, well, ... (a)	
können	can, may, are able to	
machen	to make, do	
denn	because, since, for, then (intensifier) (d)	
tun	to do, to put (one thing in another)	
nie	never, at no time (niemals, ... )	
über	over (not ober, oben, vorbei, rüber) (ü)	
kein	none, not any	
vielleicht	maybe	
weg	away	
der Weg; -e	the way ('W')	
wissen	to know something	
am	at the, by the, on the, near the (single syllable combination of two words) (a)	
kommen	to come	
das Leben; -	the life	
leben	to live (existentially)	
müssen	to have to	
viel	a lot	
wirklich	really	
Frau	Mrs., Ms.	
die Frau; -en	the woman, the wife	
heute	today	
die Zeit; -en	the time	
dein	your (singular informal)	
bis	until	
ganz	quite, entire, whole, complete (1 syllable)	
wollen	to want	
der Gott	God	
einfach	easy, simple, plain	
zurück	back, behind (as in: step back) (z)	
weil	because (4)	
dieser; dieses; diese	this (three forms)	
damit	thereby, therewith, so that, in order that, hence (dam...)	
zwei	two	
meinen	to mean, reckon, think (believe)	
sicher	sure, certain, safe	
das Leid	the sorrow, the grief, the suffering (no plural) ('L_')	
der Schritt; -e	the pace, the step, the stride, the crotch (pants), the move (fig) (S)	
der Morgen; -	the morning (not Vormittag) (no plural)	
morgen	tomorrow	
lassen	to let, to leave	
Na?	well? Yeah? Well then? (1 word, single syllable)	
die Liebe	the love (no plural)	
die Leute	the people (plural only)	
der Tag; -e	the day	
genau	exactly, precisely (not 'e...') (g)	
der Vater; -"	the father	
das Geld; -er	the money	
durch	through	
wohl	probably, indeed, arguably, well, perhaps (not wahrscheinlich, vermutlich)  (w)	
schön	beautiful, nice	
der Glaube; -ns; N/A	the faith, belief, religious conviction	
klar	clear, lucid, plain, obvious, distinct ('deutlich' or ...)	
die Mutter; -"	the mother	
die Nacht; -"e	the night	
besser	better	
ohne	without	
reden	to talk (not sprechen)	
jemand	someone	
ob	whether	
gerade	even (number), right now, just then, straight	
selbst	self	
dort	there	
das Paar; -e	the pair, the couple	
weiter	further ('ferner' or ...)	
die Ordnung; -en	the order, the tidiness	
geben	to give	
der Herr; -n; -en	the gentleman (weak and special plurals)	
Herr	Mr.	
hören	to hear	
das Mädchen; -	the girl	
gar	really (intensifying, normally in the negative i.e. "really not", "not at all"), well done (cooking)	
seit	since	
die Welt; -en	the world	
gleich	immediately, equally	
der Freund; -e	the male friend, the boyfriend	
der Abend; -e	the evening	
natürlich	naturally	
drei	three	
die Angst; -"e	the fear, the anxiety (not 'Schrecht, Furcht, Befürchtung') (A)	
das Recht; -e	the (legal) right (R)	
recht	right (not gerecht, richtig)	
viele	many	
finden	to find	
richtig	correct (not 'k...')	
unter	under	
der Junge; -n; -n	the boy	
tot	dead	
der Kern; -e	the kernel, core, heart, nucleus	
bleiben	to stay	
das Haus; -"er	the house	
nehmen	to take	
essen	to eat	
helfen	to help	
sollen	should	
unser	our	
wegen	because of	
andere	other (a)	
wieso	why (not Warum, weshalb, weswegen, wozu)	
schnell	fast (rasch, ... )	
erhältlich	available, obtainable, procurable ('e_')	
genug	enough	
sonst	or else, otherwise (not anders) (s)	
gegen	against, around (time)	
zusammen	together (not miteinander)	
erst	only, first (not nur, lediglich, einzig) (adverb) (e)	
